Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,Mobile,Global results,Facebook,548,0.205
What social platform has influenced your online shopping most?,Mobile,Global results,Instagram,916,0.342
What social platform has influenced your online shopping most?,Mobile,Global results,Snapchat,86,0.032
What social platform has influenced your online shopping most?,Mobile,Global results,Twitter,179,0.067
What social platform has influenced your online shopping most?,Mobile,Global results,None,947,0.354
What social platform has influenced your online shopping most?,Web,Web,Facebook,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Instagram,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Snapchat,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Twitter,0,0.0
What social platform has influenced your online shopping most?,Web,Web,None,2,1.0
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,0.199
What social platform has influenced your online shopping most?,Gender,Female voters,Instagram,535,0.48
What social platform has influenced your online shopping most?,Gender,Female voters,Snapchat,29,0.026
What social platform has influenced your online shopping most?,Gender,Female voters,Twitter,57,0.051
What social platform has influenced your online shopping most?,Gender,Female voters,None,271,0.243
What social platform has influenced your online shopping most?,Gender,Male voters,Facebook,326,0.209
What social platform has influenced your online shopping most?,Gender,Male voters,Instagram,380,0.243
What social platform has influenced your online shopping most?,Gender,Male voters,Snapchat,56,0.036
What social platform has influenced your online shopping most?,Gender,Male voters,Twitter,122,0.078
What social platform has influenced your online shopping most?,Gender,Male voters,None,678,0.434
What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Delaware,None,1,0.333
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Instagram,1,0.25
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,None,2,0.5
What social platform has influenced your online shopping most?,University,Students of New York,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Students of New York,Instagram,21,0.467
What social platform has influenced your online shopping most?,University,Students of New York,Snapchat,1,0.022
What social platform has influenced your online shopping most?,University,Students of New York,Twitter,5,0.111
What social platform has influenced your online shopping most?,University,Students of New York,None,18,0.4
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,None,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Northeastern University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Northeastern University,None,1,0.5
What social platform has influenced your online shopping most?,University,West Virginia University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,West Virginia University ,None,2,1.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Instagram,0,0.0
