Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,2,0.5
What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,None,2,0.5
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,14,0.187
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,32,0.427
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,1,0.013
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,5,0.067
What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,23,0.307
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,64,0.25
What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,75,0.293
What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,10,0.039
What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.047
What social platform has influenced your online shopping most?,University,University of Virginia,None,95,0.371
What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,26,0.252
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Instagram,35,0.34
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Snapchat,1,0.01
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,7,0.068
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,None,34,0.33
What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,7,0.412
What social platform has influenced your online shopping most?,University,Dartmouth College,Instagram,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,None,8,0.471
What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.059
